"Type","Death.Benefit","Age","Premium","Loading","Profit","Expenses","Year","Intervention","Mortality","Reduction"
"SPWL",500000,45,60894.1867,0.4,23087.04,1,2024,TRUE,1,1
"SPWL",500000,55,146476.1227,0.4,55704.96,1,2024,TRUE,1,1
"SPWL",1000000,26,22818.4136,0.4,8483.31,1,2024,TRUE,1,1
"SPWL",1000000,35,46984.55718,0.4,17850.5,1,2024,TRUE,1,1
"SPWL",1000000,45,121595.606,0.4,46629.99,1,2024,TRUE,1,1
"SPWL",1000000,55,292777.9531,0.4,111872.9,1,2024,TRUE,1,1
"SPWL",2000000,26,45434.42859,0.4,17418.8,1,2024,TRUE,1,1
"SPWL",2000000,35,93768.99873,0.4,36154.06,1,2024,TRUE,1,1
"SPWL",2000000,45,242998.4446,0.4,93715.88,1,2024,TRUE,1,1
"SPWL",2000000,55,585381.6137,0.4,224208.79,1,2024,TRUE,1,1
"T20",50000,26,125.9157653,0.4,-1190.26799,2,2024,TRUE,1,1
"T20",50000,35,206.4822503,0.4,-589.6973197,2,2024,TRUE,1,1
"T20",50000,45,779.8376132,0.4,1317.655417,2,2024,TRUE,1,1
"T20",50000,55,2783.246216,0.4,6063.252582,2,2024,TRUE,1,1
"T20",100000,26,203.1517161,0.4,-606.6297236,2,2024,TRUE,1,1
"T20",100000,35,378.3199804,0.4,16.58774581,2,2024,TRUE,1,1
"T20",100000,45,1509.817256,0.4,3804.523179,2,2024,TRUE,1,1
"T20",100000,55,5509.243937,0.4,13308.8652,2,2024,TRUE,1,1
"T20",250000,26,434.6260225,0.4,230.9896157,2,2024,TRUE,1,1
"T20",250000,35,872.2845876,0.4,1789.699131,2,2024,TRUE,1,1
"T20",250000,45,3699.756185,0.4,11265.12647,2,2024,TRUE,1,1
"T20",250000,55,13687.2371,0.4,35045.70306,2,2024,TRUE,1,1
"T20",500000,26,820.4165331,0.4,1627.021848,2,2024,TRUE,1,1
"T20",500000,35,1695.558933,0.4,4744.884772,2,2024,TRUE,1,1
"T20",500000,45,7349.654399,0.4,23699.46528,2,2024,TRUE,1,1
"T20",500000,55,27317.22571,0.4,71273.76617,2,2024,TRUE,1,1
"T20",1000000,26,1591.997554,0.4,4419.086312,2,2024,TRUE,1,1
"T20",1000000,35,3342.107624,0.4,10655.25605,2,2024,TRUE,1,1
"T20",1000000,45,14649.45083,0.4,48568.1429,2,2024,TRUE,1,1
"T20",1000000,55,54577.20292,0.4,143729.8924,2,2024,TRUE,1,1
"T20",2000000,26,3135.159597,0.4,10003.21524,2,2024,TRUE,1,1
"T20",2000000,35,6635.205006,0.4,22475.99862,2,2024,TRUE,1,1
"T20",2000000,45,29249.04369,0.4,98305.49814,2,2024,TRUE,1,1
"T20",2000000,55,109097.1573,0.4,288642.1448,2,2024,TRUE,1,1
"SPWL",50000,26,1535.597976,0.4,-730.09,2,2024,TRUE,1,1
"SPWL",50000,35,2739.45332,0.4,-263.46,2,2024,TRUE,1,1
"SPWL",50000,45,6455.676705,0.4,1169.97,2,2024,TRUE,1,1
"SPWL",50000,55,14978.76782,0.4,4418.31,2,2024,TRUE,1,1
"SPWL",100000,26,2666.398725,0.4,-283.31,2,2024,TRUE,1,1
"SPWL",100000,35,5078.675398,0.4,651.72,2,2024,TRUE,1,1
"SPWL",100000,45,12525.81864,0.4,3524.27,2,2024,TRUE,1,1
"SPWL",100000,55,29608.95086,0.4,10035.11,2,2024,TRUE,1,1
"SPWL",250000,26,6058.800973,0.4,1057.01,2,2024,TRUE,1,1
"SPWL",250000,35,12096.34163,0.4,3397.25,2,2024,TRUE,1,1
"SPWL",250000,45,30736.24443,0.4,10587.15,2,2024,TRUE,1,1
"SPWL",250000,55,73499.49996,0.4,26885.49,2,2024,TRUE,1,1
"SPWL",500000,26,11712.80472,0.4,3290.88,2,2024,TRUE,1,1
"SPWL",500000,35,23792.45202,0.4,7973.14,2,2024,TRUE,1,1
"SPWL",500000,45,61086.95409,0.4,22358.62,2,2024,TRUE,1,1
"SPWL",500000,55,146650.4151,0.4,54969.46,2,2024,TRUE,1,1
"SPWL",1000000,26,23020.81221,0.4,7758.62,2,2024,TRUE,1,1
"SPWL",1000000,35,47184.6728,0.4,17124.92,2,2024,TRUE,1,1
"SPWL",1000000,45,121788.3734,0.4,45901.57,2,2024,TRUE,1,1
"SPWL",1000000,55,292952.2455,0.4,111137.4,2,2024,TRUE,1,1
"SPWL",2000000,26,45636.8272,0.4,16694.11,2,2024,TRUE,1,1
"SPWL",2000000,35,93969.11435,0.4,35428.48,2,2024,TRUE,1,1
"SPWL",2000000,45,243191.212,0.4,92987.46,2,2024,TRUE,1,1
"SPWL",2000000,55,585555.9061,0.4,223473.29,2,2024,TRUE,1,1
"T20",50000,26,101.4980094,0.4,-382.4511319,1,2024,TRUE,1,2
"T20",50000,35,182.3199673,0.4,191.2506585,1,2024,TRUE,1,2
"T20",50000,45,754.9086281,0.4,2299.161831,1,2024,TRUE,1,2
"T20",50000,55,2754.621969,0.4,7602.170322,1,2024,TRUE,1,2
"T20",100000,26,178.7339602,0.4,172.4778868,1,2024,TRUE,1,2
"T20",100000,35,353.8148593,0.4,862.5721362,1,2024,TRUE,1,2
"T20",100000,45,1484.888271,0.4,5046.035266,1,2024,TRUE,1,2
"T20",100000,55,5480.61969,0.4,15656.91057,1,2024,TRUE,1,2
"T20",250000,26,410.2082665,0.4,1100.449191,1,2024,TRUE,1,2
"T20",250000,35,847.7794666,0.4,2825.927704,1,2024,TRUE,1,2
"T20",250000,45,3674.8272,0.4,13286.65557,1,2024,TRUE,1,2
"T20",250000,55,13658.61285,0.4,39821.13132,1,2024,TRUE,1,2
"T20",500000,26,795.9987772,0.4,2647.068033,1,2024,TRUE,1,2
"T20",500000,35,1671.053812,0.4,6098.186985,1,2024,TRUE,1,2
"T20",500000,45,7324.725414,0.4,27021.02274,1,2024,TRUE,1,2
"T20",500000,55,27288.60146,0.4,80094.83256,1,2024,TRUE,1,2
"T20",1000000,26,1567.579798,0.4,5740.305715,1,2024,TRUE,1,2
"T20",1000000,35,3317.602503,0.4,12642.70555,1,2024,TRUE,1,2
"T20",1000000,45,14624.52184,0.4,54489.75709,1,2024,TRUE,1,2
"T20",1000000,55,54548.57867,0.4,160642.2351,1,2024,TRUE,1,2
"T20",2000000,26,3110.741841,0.4,11926.78108,1,2024,TRUE,1,2
"T20",2000000,35,6610.699885,0.4,25731.74267,1,2024,TRUE,1,2
"T20",2000000,45,29224.1147,0.4,109427.2258,1,2024,TRUE,1,2
"T20",2000000,55,109068.5331,0.4,321737.04,1,2024,TRUE,1,2
"SPWL",50000,26,1333.199363,0.4,33.76,1,2024,TRUE,1,2
"SPWL",50000,35,2539.337699,0.4,534.71,1,2024,TRUE,1,2
"SPWL",50000,45,6262.909318,0.4,2067.56,1,2024,TRUE,1,2
"SPWL",50000,55,14804.47543,0.4,5506.91,1,2024,TRUE,1,2
"SPWL",100000,26,2464.000112,0.4,519.76,1,2024,TRUE,1,2
"SPWL",100000,35,4878.559777,0.4,1522.62,1,2024,TRUE,1,2
"SPWL",100000,45,12333.05125,0.4,4591.35,1,2024,TRUE,1,2
"SPWL",100000,55,29434.65846,0.4,11477.58,1,2024,TRUE,1,2
"SPWL",250000,26,5856.40236,0.4,1977.79,1,2024,TRUE,1,2
"SPWL",250000,35,11896.22601,0.4,4486.36,1,2024,TRUE,1,2
"SPWL",250000,45,30543.47704,0.4,12162.74,1,2024,TRUE,1,2
"SPWL",250000,55,73325.20756,0.4,29389.59,1,2024,TRUE,1,2
"SPWL",500000,26,11510.40611,0.4,4407.82,1,2024,TRUE,1,2
"SPWL",500000,35,23592.3364,0.4,9425.92,1,2024,TRUE,1,2
"SPWL",500000,45,60894.1867,0.4,24781.72,1,2024,TRUE,1,2
"SPWL",500000,55,146476.1227,0.4,59242.93,1,2024,TRUE,1,2
"SPWL",1000000,26,22818.4136,0.4,9267.9,1,2024,TRUE,1,2
"SPWL",1000000,35,46984.55718,0.4,19305.04,1,2024,TRUE,1,2
"SPWL",1000000,45,121595.606,0.4,50019.68,1,2024,TRUE,1,2
"SPWL",1000000,55,292777.9531,0.4,118949.61,1,2024,TRUE,1,2
"SPWL",2000000,26,45434.42859,0.4,18988.05,1,2024,TRUE,1,2
"SPWL",2000000,35,93768.99873,0.4,39063.28,1,2024,TRUE,1,2
"SPWL",2000000,45,242998.4446,0.4,100495.6,1,2024,TRUE,1,2
"SPWL",2000000,55,585381.6137,0.4,238362.98,1,2024,TRUE,1,2
"T20",50000,26,125.9157653,0.4,-1160.152294,2,2024,TRUE,1,2
"T20",50000,35,206.4822503,0.4,-527.5993905,2,2024,TRUE,1,2
"T20",50000,45,779.8376132,0.4,1578.931581,2,2024,TRUE,1,2
"T20",50000,55,2783.246216,0.4,6877.081749,2,2024,TRUE,1,2
"T20",100000,26,203.1517161,0.4,-546.2104084,2,2024,TRUE,1,2
"T20",100000,35,378.3199804,0.4,143.7219147,2,2024,TRUE,1,2
"T20",100000,45,1509.817256,0.4,4325.805016,2,2024,TRUE,1,2
"T20",100000,55,5509.243937,0.4,14931.822,2,2024,TRUE,1,2
"T20",250000,26,434.6260225,0.4,381.7608962,2,2024,TRUE,1,2
"T20",250000,35,872.2845876,0.4,2107.077483,2,2024,TRUE,1,2
"T20",250000,45,3699.756185,0.4,12566.42532,2,2024,TRUE,1,2
"T20",250000,55,13687.2371,0.4,39096.04274,2,2024,TRUE,1,2
"T20",500000,26,820.4165331,0.4,1928.379737,2,2024,TRUE,1,2
"T20",500000,35,1695.558933,0.4,5379.336763,2,2024,TRUE,1,2
"T20",500000,45,7349.654399,0.4,26300.79249,2,2024,TRUE,1,2
"T20",500000,55,27317.22571,0.4,79369.74399,2,2024,TRUE,1,2
"T20",1000000,26,1591.997554,0.4,5021.617419,2,2024,TRUE,1,2
"T20",1000000,35,3342.107624,0.4,11923.85532,2,2024,TRUE,1,2
"T20",1000000,45,14649.45083,0.4,53769.52684,2,2024,TRUE,1,2
"T20",1000000,55,54577.20292,0.4,159917.1465,2,2024,TRUE,1,2
"T20",2000000,26,3135.159597,0.4,11208.09278,2,2024,TRUE,1,2
"T20",2000000,35,6635.205006,0.4,25012.89245,2,2024,TRUE,1,2
"T20",2000000,45,29249.04369,0.4,108706.9955,2,2024,TRUE,1,2
"T20",2000000,55,109097.1573,0.4,321011.9515,2,2024,TRUE,1,2
"SPWL",50000,26,1535.597976,0.4,-691.01,2,2024,TRUE,1,2
"SPWL",50000,35,2739.45332,0.4,-191.01,2,2024,TRUE,1,2
"SPWL",50000,45,6455.676705,0.4,1338.8,2,2024,TRUE,1,2
"SPWL",50000,55,14978.76782,0.4,4770.64,2,2024,TRUE,1,2
"SPWL",100000,26,2666.398725,0.4,-205,2,2024,TRUE,1,2
"SPWL",100000,35,5078.675398,0.4,796.9,2,2024,TRUE,1,2
"SPWL",100000,45,12525.81864,0.4,3862.59,2,2024,TRUE,1,2
"SPWL",100000,55,29608.95086,0.4,10741.3,2,2024,TRUE,1,2
"SPWL",250000,26,6058.800973,0.4,1253.02,2,2024,TRUE,1,2
"SPWL",250000,35,12096.34163,0.4,3760.64,2,2024,TRUE,1,2
"SPWL",250000,45,30736.24443,0.4,11433.98,2,2024,TRUE,1,2
"SPWL",250000,55,73499.49996,0.4,28653.31,2,2024,TRUE,1,2
"SPWL",500000,26,11712.80472,0.4,3683.05,2,2024,TRUE,1,2
"SPWL",500000,35,23792.45202,0.4,8700.2,2,2024,TRUE,1,2
"SPWL",500000,45,61086.95409,0.4,24052.96,2,2024,TRUE,1,2
"SPWL",500000,55,146650.4151,0.4,58506.65,2,2024,TRUE,1,2
"SPWL",1000000,26,23020.81221,0.4,8543.13,2,2024,TRUE,1,2
"SPWL",1000000,35,47184.6728,0.4,18579.32,2,2024,TRUE,1,2
"SPWL",1000000,45,121788.3734,0.4,49290.92,2,2024,TRUE,1,2
"SPWL",1000000,55,292952.2455,0.4,118213.34,2,2024,TRUE,1,2
"SPWL",2000000,26,45636.8272,0.4,18263.28,2,2024,TRUE,1,2
"SPWL",2000000,35,93969.11435,0.4,38337.56,2,2024,TRUE,1,2
"SPWL",2000000,45,243191.212,0.4,99766.84,2,2024,TRUE,1,2
"SPWL",2000000,55,585555.9061,0.4,237626.71,2,2024,TRUE,1,2
"T20",50000,26,174.7512772,0.4,-1948.317565,3,2024,TRUE,1,1
"T20",50000,35,254.8068162,0.4,-1230.226686,3,2024,TRUE,1,1
"T20",50000,45,829.6955835,0.4,673.4000419,3,2024,TRUE,1,1
"T20",50000,55,2840.494711,0.4,5405.849513,3,2024,TRUE,1,1
"T20",100000,26,251.9872279,0.4,-1246.71537,3,2024,TRUE,1,1
"T20",100000,35,427.3302225,0.4,-623.9417949,3,2024,TRUE,1,1
"T20",100000,45,1559.675226,0.4,3160.267804,3,2024,TRUE,1,1
"T20",100000,55,5566.492433,0.4,12651.46213,3,2024,TRUE,1,1
"T20",250000,26,483.4615343,0.4,-409.0960307,3,2024,TRUE,1,1
"T20",250000,35,921.2948298,0.4,1149.16959,3,2024,TRUE,1,1
"T20",250000,45,3749.614155,0.4,10620.87109,3,2024,TRUE,1,1
"T20",250000,55,13744.4856,0.4,34388.3,3,2024,TRUE,1,1
"T20",500000,26,869.2520449,0.4,986.9362015,3,2024,TRUE,1,1
"T20",500000,35,1744.569175,0.4,4104.355231,3,2024,TRUE,1,1
"T20",500000,45,7399.51237,0.4,23055.2099,3,2024,TRUE,1,1
"T20",500000,55,27374.4742,0.4,70616.3631,3,2024,TRUE,1,1
"T20",1000000,26,1640.833066,0.4,3779.000666,3,2024,TRUE,1,1
"T20",1000000,35,3391.117866,0.4,10014.72651,3,2024,TRUE,1,1
"T20",1000000,45,14699.3088,0.4,47923.88752,3,2024,TRUE,1,1
"T20",1000000,55,54634.45141,0.4,143072.4893,3,2024,TRUE,1,1
"T20",2000000,26,3183.995109,0.4,9363.129595,3,2024,TRUE,1,1
"T20",2000000,35,6684.215248,0.4,21835.46908,3,2024,TRUE,1,1
"T20",2000000,45,29298.90166,0.4,97661.24277,3,2024,TRUE,1,1
"T20",2000000,55,109154.4058,0.4,287984.7417,3,2024,TRUE,1,1
"SPWL",50000,26,1940.395202,0.4,-1382,3,2024,TRUE,1,1
"SPWL",50000,35,3139.684563,0.4,-917.14,3,2024,TRUE,1,1
"SPWL",50000,45,6841.211478,0.4,510.61,3,2024,TRUE,1,1
"SPWL",50000,55,15327.35261,0.4,3744.79,3,2024,TRUE,1,1
"SPWL",100000,26,3071.195952,0.4,-935.22,3,2024,TRUE,1,1
"SPWL",100000,35,5478.90664,0.4,-1.96,3,2024,TRUE,1,1
"SPWL",100000,45,12911.35341,0.4,2864.91,3,2024,TRUE,1,1
"SPWL",100000,55,29957.53564,0.4,9361.58,3,2024,TRUE,1,1
"SPWL",250000,26,6463.5982,0.4,405.1,3,2024,TRUE,1,1
"SPWL",250000,35,12496.57287,0.4,2743.57,3,2024,TRUE,1,1
"SPWL",250000,45,31121.7792,0.4,9927.79,3,2024,TRUE,1,1
"SPWL",250000,55,73848.08475,0.4,26211.97,3,2024,TRUE,1,1
"SPWL",500000,26,12117.60195,0.4,2638.97,3,2024,TRUE,1,1
"SPWL",500000,35,24192.68326,0.4,7319.46,3,2024,TRUE,1,1
"SPWL",500000,45,61472.48886,0.4,21699.26,3,2024,TRUE,1,1
"SPWL",500000,55,146998.9999,0.4,54295.94,3,2024,TRUE,1,1
"SPWL",1000000,26,23425.60944,0.4,7106.72,3,2024,TRUE,1,1
"SPWL",1000000,35,47584.90404,0.4,16471.24,3,2024,TRUE,1,1
"SPWL",1000000,45,122173.9082,0.4,45242.21,3,2024,TRUE,1,1
"SPWL",1000000,55,293300.8302,0.4,110463.88,3,2024,TRUE,1,1
"SPWL",2000000,26,46041.62443,0.4,16042.2,3,2024,TRUE,1,1
"SPWL",2000000,35,94369.34559,0.4,34774.8,3,2024,TRUE,1,1
"SPWL",2000000,45,243576.7468,0.4,92328.09,3,2024,TRUE,1,1
"SPWL",2000000,55,585904.4909,0.4,222799.76,3,2024,TRUE,1,1
"T20",50000,26,174.7512772,0.4,-1918.079004,3,2024,TRUE,1,2
"T20",50000,35,254.8068162,0.4,-1167.823873,3,2024,TRUE,1,2
"T20",50000,45,829.6955835,0.4,935.9466979,3,2024,TRUE,1,2
"T20",50000,55,2840.494711,0.4,6224.380218,3,2024,TRUE,1,2
"T20",100000,26,251.9872279,0.4,-1186.111383,3,2024,TRUE,1,2
"T20",100000,35,427.3302225,0.4,-496.5029128,3,2024,TRUE,1,2
"T20",100000,45,1559.675226,0.4,3682.820133,3,2024,TRUE,1,2
"T20",100000,55,5566.492433,0.4,14279.12047,3,2024,TRUE,1,2
"T20",250000,26,483.4615343,0.4,-258.1400786,3,2024,TRUE,1,2
"T20",250000,35,921.2948298,0.4,1466.852655,3,2024,TRUE,1,2
"T20",250000,45,3749.614155,0.4,11923.44044,3,2024,TRUE,1,2
"T20",250000,55,13744.4856,0.4,38443.34121,3,2024,TRUE,1,2
"T20",500000,26,869.2520449,0.4,1288.478762,3,2024,TRUE,1,2
"T20",500000,35,1744.569175,0.4,4739.111936,3,2024,TRUE,1,2
"T20",500000,45,7399.51237,0.4,25657.80761,3,2024,TRUE,1,2
"T20",500000,55,27374.4742,0.4,78717.04246,3,2024,TRUE,1,2
"T20",1000000,26,1640.833066,0.4,4381.716445,3,2024,TRUE,1,2
"T20",1000000,35,3391.117866,0.4,11283.6305,3,2024,TRUE,1,2
"T20",1000000,45,14699.3088,0.4,53126.54196,3,2024,TRUE,1,2
"T20",1000000,55,54634.45141,0.4,159264.4449,3,2024,TRUE,1,2
"T20",2000000,26,3183.995109,0.4,10568.19181,3,2024,TRUE,1,2
"T20",2000000,35,6684.215248,0.4,24372.66762,3,2024,TRUE,1,2
"T20",2000000,45,29298.90166,0.4,108064.0107,3,2024,TRUE,1,2
"T20",2000000,55,109154.4058,0.4,320359.2499,3,2024,TRUE,1,2
"SPWL",50000,26,1940.395202,0.4,-1343.07,3,2024,TRUE,1,2
"SPWL",50000,35,3139.684563,0.4,-844.97,3,2024,TRUE,1,2
"SPWL",50000,45,6841.211478,0.4,678.75,3,2024,TRUE,1,2
"SPWL",50000,55,15327.35261,0.4,4095.56,3,2024,TRUE,1,2
"SPWL",100000,26,3071.195952,0.4,-857.07,3,2024,TRUE,1,2
"SPWL",100000,35,5478.90664,0.4,142.94,3,2024,TRUE,1,2
"SPWL",100000,45,12911.35341,0.4,3202.55,3,2024,TRUE,1,2
"SPWL",100000,55,29957.53564,0.4,10066.23,3,2024,TRUE,1,2
"SPWL",250000,26,6463.5982,0.4,600.96,3,2024,TRUE,1,2
"SPWL",250000,35,12496.57287,0.4,3106.68,3,2024,TRUE,1,2
"SPWL",250000,45,31121.7792,0.4,10773.94,3,2024,TRUE,1,2
"SPWL",250000,55,73848.08475,0.4,27978.23,3,2024,TRUE,1,2
"SPWL",500000,26,12117.60195,0.4,3030.99,3,2024,TRUE,1,2
"SPWL",500000,35,24192.68326,0.4,8046.24,3,2024,TRUE,1,2
"SPWL",500000,45,61472.48886,0.4,23392.92,3,2024,TRUE,1,2
"SPWL",500000,55,146998.9999,0.4,57831.58,3,2024,TRUE,1,2
"SPWL",1000000,26,23425.60944,0.4,7891.07,3,2024,TRUE,1,2
"SPWL",1000000,35,47584.90404,0.4,17925.36,3,2024,TRUE,1,2
"SPWL",1000000,45,122173.9082,0.4,48630.88,3,2024,TRUE,1,2
"SPWL",1000000,55,293300.8302,0.4,117538.26,3,2024,TRUE,1,2
"SPWL",2000000,26,46041.62443,0.4,17611.21,3,2024,TRUE,1,2
"SPWL",2000000,35,94369.34559,0.4,37683.6,3,2024,TRUE,1,2
"SPWL",2000000,45,243576.7468,0.4,99106.8,3,2024,TRUE,1,2
"SPWL",2000000,55,585904.4909,0.4,236951.63,3,2024,TRUE,1,2
"T20",50000,26,105.422887,0.4,-402.582057,1,2014,TRUE,1,1
"T20",50000,35,188.5366944,0.4,196.4292429,1,2014,TRUE,1,1
"T20",50000,45,802.7427094,0.4,2367.391941,1,2014,TRUE,1,1
"T20",50000,55,2866.672204,0.4,7441.764262,1,2014,TRUE,1,1
"T20",100000,26,186.3176284,0.4,168.7502362,1,2014,TRUE,1,1
"T20",100000,35,387.9747974,0.4,917.9971137,1,2014,TRUE,1,1
"T20",100000,45,1581.198264,0.4,5180.562764,1,2014,TRUE,1,1
"T20",100000,55,5705.364483,0.4,15336.76883,1,2014,TRUE,1,1
"T20",250000,26,429.4083475,0.4,1086.910511,1,2014,TRUE,1,1
"T20",250000,35,933.4131426,0.4,2960.410088,1,2014,TRUE,1,1
"T20",250000,45,3916.564928,0.4,13620.07523,1,2014,TRUE,1,1
"T20",250000,55,14221.44132,0.4,39021.78252,1,2014,TRUE,1,1
"T20",500000,26,834.5595458,0.4,2617.177635,1,2014,TRUE,1,1
"T20",500000,35,1842.477051,0.4,6364.431712,1,2014,TRUE,1,1
"T20",500000,45,7808.842702,0.4,27685.92935,1,2014,TRUE,1,1
"T20",500000,55,28414.90271,0.4,78496.80533,1,2014,TRUE,1,1
"T20",1000000,26,1644.861943,0.4,5677.711884,1,2014,TRUE,1,1
"T20",1000000,35,3660.604869,0.4,13172.47496,1,2014,TRUE,1,1
"T20",1000000,45,15593.39825,0.4,55817.63758,1,2014,TRUE,1,1
"T20",1000000,55,56801.8255,0.4,157446.851,1,2014,TRUE,1,1
"T20",2000000,26,3265.466736,0.4,11798.78038,1,2014,TRUE,1,1
"T20",2000000,35,7296.860504,0.4,26788.56146,1,2014,TRUE,1,1
"T20",2000000,45,31162.50934,0.4,112081.054,1,2014,TRUE,1,1
"T20",2000000,55,113575.6711,0.4,315346.9422,1,2014,TRUE,1,1
"SPWL",50000,26,1875.023746,0.4,205.85,1,2014,TRUE,1,1
"SPWL",50000,35,3743.097588,0.4,928.66,1,2014,TRUE,1,1
"SPWL",50000,45,9255.192091,0.4,3047.06,1,2014,TRUE,1,1
"SPWL",50000,55,19444.19289,0.4,6869.45,1,2014,TRUE,1,1
"SPWL",100000,26,3517.912382,0.4,853.21,1,2014,TRUE,1,1
"SPWL",100000,35,7257.607573,0.4,2300.21,1,2014,TRUE,1,1
"SPWL",100000,45,18293.1553,0.4,6541.39,1,2014,TRUE,1,1
"SPWL",100000,55,38698.04451,0.4,14196.44,1,2014,TRUE,1,1
"SPWL",250000,26,8446.578291,0.4,2795.29,1,2014,TRUE,1,1
"SPWL",250000,35,17801.13753,0.4,6414.86,1,2014,TRUE,1,1
"SPWL",250000,45,45407.04492,0.4,17024.38,1,2014,TRUE,1,1
"SPWL",250000,55,96459.59938,0.4,36177.41,1,2014,TRUE,1,1
"SPWL",500000,26,16661.02147,0.4,6032.1,1,2014,TRUE,1,1
"SPWL",500000,35,35373.68745,0.4,13272.6,1,2014,TRUE,1,1
"SPWL",500000,45,90596.86096,0.4,34496.03,1,2014,TRUE,1,1
"SPWL",500000,55,192728.8575,0.4,72812.37,1,2014,TRUE,1,1
"SPWL",1000000,26,33089.90783,0.4,12505.7,1,2014,TRUE,1,1
"SPWL",1000000,35,70518.7873,0.4,26988.08,1,2014,TRUE,1,1
"SPWL",1000000,45,180976.493,0.4,69439.34,1,2014,TRUE,1,1
"SPWL",1000000,55,385267.3737,0.4,146082.28,1,2014,TRUE,1,1
"SPWL",2000000,26,65947.68056,0.4,25452.9,1,2014,TRUE,1,1
"SPWL",2000000,35,140808.987,0.4,54419.05,1,2014,TRUE,1,1
"SPWL",2000000,45,361735.7572,0.4,139325.96,1,2014,TRUE,1,1
"SPWL",2000000,55,770344.4062,0.4,292622.1,1,2014,TRUE,1,1
"T20",50000,26,105.422887,0.4,-369.5437807,1,2014,TRUE,1,2
"T20",50000,35,188.5366944,0.4,265.2981487,1,2014,TRUE,1,2
"T20",50000,45,802.7427094,0.4,2663.284233,1,2014,TRUE,1,2
"T20",50000,55,2866.672204,0.4,8329.621749,1,2014,TRUE,1,2
"T20",100000,26,186.3176284,0.4,234.8957884,1,2014,TRUE,1,2
"T20",100000,35,387.9747974,0.4,1064.316715,1,2014,TRUE,1,2
"T20",100000,45,1581.198264,0.4,5771.656204,1,2014,TRUE,1,2
"T20",100000,55,5705.364483,0.4,17109.97575,1,2014,TRUE,1,2
"T20",250000,26,429.4083475,0.4,1252.125723,1,2014,TRUE,1,2
"T20",250000,35,933.4131426,0.4,3325.960608,1,2014,TRUE,1,2
"T20",250000,45,3916.564928,0.4,15096.77212,1,2014,TRUE,1,2
"T20",250000,55,14221.44132,0.4,43451.03776,1,2014,TRUE,1,2
"T20",500000,26,834.5595458,0.4,2947.508948,1,2014,TRUE,1,2
