"Type","Death.Benefit","Age","Premium","Loading","Profit","Expenses","Year","Intervention","Mortality"
"SPWL",100000,55,11079.79106,0.4,3988.72,2,2004,FALSE,3
"SPWL",250000,26,9566.427934,0.4,3443.91,2,2004,FALSE,3
"SPWL",250000,35,11413.11004,0.4,4108.72,2,2004,FALSE,3
"SPWL",250000,45,16158.69087,0.4,5817.13,2,2004,FALSE,3
"SPWL",250000,55,26972.93806,0.4,9710.26,2,2004,FALSE,3
"SPWL",500000,26,18633.54404,0.4,6708.08,2,2004,FALSE,3
"SPWL",500000,35,22328.4228,0.4,8038.23,2,2004,FALSE,3
"SPWL",500000,45,31823.59198,0.4,11456.49,2,2004,FALSE,3
"SPWL",500000,55,53461.51638,0.4,19246.15,2,2004,FALSE,3
"SPWL",1000000,26,36767.77626,0.4,13236.4,2,2004,FALSE,3
"SPWL",1000000,35,44159.04832,0.4,15897.26,2,2004,FALSE,3
"SPWL",1000000,45,63153.39421,0.4,22735.22,2,2004,FALSE,3
"SPWL",1000000,55,106438.673,0.4,38317.92,2,2004,FALSE,3
"SPWL",2000000,26,73036.2407,0.4,26293.05,2,2004,FALSE,3
"SPWL",2000000,35,87820.29937,0.4,31615.31,2,2004,FALSE,3
"SPWL",2000000,45,125812.9987,0.4,45292.68,2,2004,FALSE,3
"SPWL",2000000,55,212392.9863,0.4,76461.48,2,2004,FALSE,3
"T20",50000,26,177.0691835,0.4,150.5797386,1,2004,FALSE,3
"T20",50000,35,182.0704355,0.4,647.1423904,1,2004,FALSE,3
"T20",50000,45,223.3873183,0.4,789.7548086,1,2004,FALSE,3
"T20",50000,55,330.4841867,0.4,1152.013337,1,2004,FALSE,3
"T20",100000,26,329.6014859,0.4,1121.173196,1,2004,FALSE,3
"T20",100000,35,361.2382102,0.4,1226.599618,1,2004,FALSE,3
"T20",100000,45,423.4381643,0.4,1497.006764,1,2004,FALSE,3
"T20",100000,55,637.4759371,0.4,2222.135918,1,2004,FALSE,3
"T20",250000,26,787.4844827,0.4,2678.709083,1,2004,FALSE,3
"T20",250000,35,866.5457607,0.4,2942.392774,1,2004,FALSE,3
"T20",250000,45,1023.590702,0.4,3618.76263,1,2004,FALSE,3
"T20",250000,55,1558.451188,0.4,5432.50366,1,2004,FALSE,3
"T20",500000,26,1550.622811,0.4,5274.602227,1,2004,FALSE,3
"T20",500000,35,1708.725012,0.4,5802.048033,1,2004,FALSE,3
"T20",500000,45,2023.844933,0.4,7155.022406,1,2004,FALSE,3
"T20",500000,55,3093.40994,0.4,10783.11656,1,2004,FALSE,3
"T20",1000000,26,3076.899466,0.4,10466.38852,1,2004,FALSE,3
"T20",1000000,35,3393.083513,0.4,11521.35855,1,2004,FALSE,3
"T20",1000000,45,4024.353393,0.4,14227.54196,1,2004,FALSE,3
"T20",1000000,55,6163.327444,0.4,21484.34237,1,2004,FALSE,3
"T20",2000000,26,6129.452778,0.4,20849.9611,1,2004,FALSE,3
"T20",2000000,35,6761.800516,0.4,22959.97959,1,2004,FALSE,3
"T20",2000000,45,8025.370314,0.4,28372.58106,1,2004,FALSE,3
"T20",2000000,55,12303.16245,0.4,42886.79399,1,2004,FALSE,3
"SPWL",50000,26,2063.079135,0.4,742.71,1,2004,FALSE,3
"SPWL",50000,35,2431.96119,0.4,875.51,1,2004,FALSE,3
"SPWL",50000,45,3379.875099,0.4,1216.76,1,2004,FALSE,3
"SPWL",50000,55,5539.895532,0.4,1994.36,1,2004,FALSE,3
"SPWL",100000,26,3876.502356,0.4,1395.54,1,2004,FALSE,3
"SPWL",100000,35,4615.023742,0.4,1661.41,1,2004,FALSE,3
"SPWL",100000,45,6512.855322,0.4,2344.63,1,2004,FALSE,3
"SPWL",100000,55,10837.6112,0.4,3901.54,1,2004,FALSE,3
"SPWL",250000,26,9316.772022,0.4,3354.04,1,2004,FALSE,3
"SPWL",250000,35,11164.2114,0.4,4019.12,1,2004,FALSE,3
"SPWL",250000,45,15911.79599,0.4,5728.25,1,2004,FALSE,3
"SPWL",250000,55,26730.75819,0.4,9623.07,1,2004,FALSE,3
"SPWL",500000,26,18383.88813,0.4,6618.2,1,2004,FALSE,3
"SPWL",500000,35,22079.52416,0.4,7948.63,1,2004,FALSE,3
"SPWL",500000,45,31576.69711,0.4,11367.61,1,2004,FALSE,3
"SPWL",500000,55,53219.33651,0.4,19158.96,1,2004,FALSE,3
"SPWL",1000000,26,36518.12035,0.4,13146.52,1,2004,FALSE,3
"SPWL",1000000,35,43910.14968,0.4,15807.65,1,2004,FALSE,3
"SPWL",1000000,45,62906.49934,0.4,22646.34,1,2004,FALSE,3
"SPWL",1000000,55,106196.4932,0.4,38230.74,1,2004,FALSE,3
"SPWL",2000000,26,72786.58478,0.4,26203.17,1,2004,FALSE,3
"SPWL",2000000,35,87571.40073,0.4,31525.7,1,2004,FALSE,3
"SPWL",2000000,45,125566.1038,0.4,45203.8,1,2004,FALSE,3
"SPWL",2000000,55,212150.8064,0.4,76374.29,1,2004,FALSE,3
"T20",50000,26,250.1076478,0.4,212.6916918,3,2004,FALSE,3
"T20",50000,35,251.9038549,0.4,895.3549344,3,2004,FALSE,3
"T20",50000,45,293.396735,0.4,1037.263369,3,2004,FALSE,3
"T20",50000,55,400.9614957,0.4,1397.685606,3,2004,FALSE,3
"T20",100000,26,402.6399502,0.4,1369.621009,3,2004,FALSE,3
"T20",100000,35,434.3377398,0.4,1474.812162,3,2004,FALSE,3
"T20",100000,45,493.447581,0.4,1744.515324,3,2004,FALSE,3
"T20",100000,55,707.9532461,0.4,2467.808186,3,2004,FALSE,3
"T20",250000,26,860.5229469,0.4,2927.156896,3,2004,FALSE,3
"T20",250000,35,939.6452903,0.4,3190.605318,3,2004,FALSE,3
"T20",250000,45,1093.600119,0.4,3866.27119,3,2004,FALSE,3
"T20",250000,55,1628.928497,0.4,5678.175929,3,2004,FALSE,3
"T20",500000,26,1623.661275,0.4,5523.050041,3,2004,FALSE,3
"T20",500000,35,1781.824541,0.4,6050.260577,3,2004,FALSE,3
"T20",500000,45,2093.854349,0.4,7402.530966,3,2004,FALSE,3
"T20",500000,55,3163.887249,0.4,11028.78883,3,2004,FALSE,3
"T20",1000000,26,3149.937931,0.4,10714.83633,3,2004,FALSE,3
"T20",1000000,35,3466.183043,0.4,11769.5711,3,2004,FALSE,3
"T20",1000000,45,4094.36281,0.4,14475.05052,3,2004,FALSE,3
"T20",1000000,55,6233.804753,0.4,21730.01464,3,2004,FALSE,3
"T20",2000000,26,6202.491242,0.4,21098.40891,3,2004,FALSE,3
"T20",2000000,35,6834.900046,0.4,23208.19213,3,2004,FALSE,3
"T20",2000000,45,8095.379731,0.4,28620.08962,3,2004,FALSE,3
"T20",2000000,55,12373.63976,0.4,43132.46625,3,2004,FALSE,3
"SPWL",50000,26,2812.046873,0.4,1012.34,3,2004,FALSE,3
"SPWL",50000,35,3178.657103,0.4,1144.32,3,2004,FALSE,3
"SPWL",50000,45,4120.559726,0.4,1483.4,3,2004,FALSE,3
"SPWL",50000,55,6266.435133,0.4,2255.92,3,2004,FALSE,3
"SPWL",100000,26,4625.470095,0.4,1665.17,3,2004,FALSE,3
"SPWL",100000,35,5361.719655,0.4,1930.22,3,2004,FALSE,3
"SPWL",100000,45,7253.53995,0.4,2611.27,3,2004,FALSE,3
"SPWL",100000,55,11564.1508,0.4,4163.09,3,2004,FALSE,3
"SPWL",250000,26,10065.73976,0.4,3623.67,3,2004,FALSE,3
"SPWL",250000,35,11910.90731,0.4,4287.93,3,2004,FALSE,3
"SPWL",250000,45,16652.48062,0.4,5994.89,3,2004,FALSE,3
"SPWL",250000,55,27457.29779,0.4,9884.63,3,2004,FALSE,3
"SPWL",500000,26,19132.85587,0.4,6887.83,3,2004,FALSE,3
"SPWL",500000,35,22826.22007,0.4,8217.44,3,2004,FALSE,3
"SPWL",500000,45,32317.38173,0.4,11634.26,3,2004,FALSE,3
"SPWL",500000,55,53945.87611,0.4,19420.52,3,2004,FALSE,3
"SPWL",1000000,26,37267.08809,0.4,13416.15,3,2004,FALSE,3
"SPWL",1000000,35,44656.8456,0.4,16076.46,3,2004,FALSE,3
"SPWL",1000000,45,63647.18396,0.4,22912.99,3,2004,FALSE,3
"SPWL",1000000,55,106923.0328,0.4,38492.29,3,2004,FALSE,3
"SPWL",2000000,26,73535.55252,0.4,26472.8,3,2004,FALSE,3
"SPWL",2000000,35,88318.09664,0.4,31794.51,3,2004,FALSE,3
"SPWL",2000000,45,126306.7884,0.4,45470.44,3,2004,FALSE,3
"SPWL",2000000,55,212877.346,0.4,76635.84,3,2004,FALSE,3
"T20",50000,26,198.4546094,0.4,164.8187413,2,2014,FALSE,3
"T20",50000,35,204.3332288,0.4,701.8504624,2,2014,FALSE,3
"T20",50000,45,243.8975756,0.4,833.5070866,2,2014,FALSE,3
"T20",50000,55,346.8361567,0.4,1169.524209,2,2014,FALSE,3
"T20",100000,26,348.0251072,0.4,1156.154756,2,2014,FALSE,3
"T20",100000,35,377.2639419,0.4,1251.152221,2,2014,FALSE,3
"T20",100000,45,440.5428133,0.4,1505.531804,2,2014,FALSE,3
"T20",100000,55,646.1118881,0.4,2178.675667,2,2014,FALSE,3
"T20",250000,26,796.8933934,0.4,2647.315001,2,2014,FALSE,3
"T20",250000,35,869.9295651,0.4,2885.020768,2,2014,FALSE,3
"T20",250000,45,1030.478526,0.4,3521.605954,2,2014,FALSE,3
"T20",250000,55,1543.939082,0.4,5206.130041,2,2014,FALSE,3
"T20",500000,26,1545.007204,0.4,5132.582075,2,2014,FALSE,3
"T20",500000,35,1691.038937,0.4,5608.135014,2,2014,FALSE,3
"T20",500000,45,2013.704715,0.4,6881.729539,2,2014,FALSE,3
"T20",500000,55,3040.31774,0.4,10251.88733,2,2014,FALSE,3
"T20",1000000,26,3041.234825,0.4,10103.11622,2,2014,FALSE,3
"T20",1000000,35,3333.257681,0.4,11054.3635,2,2014,FALSE,3
"T20",1000000,45,3980.157092,0.4,13601.97671,2,2014,FALSE,3
"T20",1000000,55,6033.075054,0.4,20343.40191,2,2014,FALSE,3
"T20",2000000,26,6033.690066,0.4,20044.18452,2,2014,FALSE,3
"T20",2000000,35,6617.695169,0.4,21946.82049,2,2014,FALSE,3
"T20",2000000,45,7913.061846,0.4,27042.47105,2,2014,FALSE,3
"T20",2000000,55,12018.58968,0.4,40526.43107,2,2014,FALSE,3
"SPWL",50000,26,2000.978798,0.4,720.35,2,2014,FALSE,3
"SPWL",50000,35,2254.753969,0.4,811.71,2,2014,FALSE,3
"SPWL",50000,45,2920.978946,0.4,1051.55,2,2014,FALSE,3
"SPWL",50000,55,4476.379542,0.4,1611.5,2,2014,FALSE,3
"SPWL",100000,26,3538.298723,0.4,1273.79,2,2014,FALSE,3
"SPWL",100000,35,4046.859431,0.4,1456.87,2,2014,FALSE,3
"SPWL",100000,45,5382.016755,0.4,1937.53,2,2014,FALSE,3
"SPWL",100000,55,8499.270485,0.4,3059.74,2,2014,FALSE,3
"SPWL",250000,26,8150.258499,0.4,2934.09,2,2014,FALSE,3
"SPWL",250000,35,9423.175817,0.4,3392.34,2,2014,FALSE,3
"SPWL",250000,45,12765.13018,0.4,4595.45,2,2014,FALSE,3
"SPWL",250000,55,20567.94331,0.4,7404.46,2,2014,FALSE,3
"SPWL",500000,26,15836.85813,0.4,5701.27,2,2014,FALSE,3
"SPWL",500000,35,18383.70313,0.4,6618.13,2,2014,FALSE,3
"SPWL",500000,45,25070.31923,0.4,9025.31,2,2014,FALSE,3
"SPWL",500000,55,40682.39802,0.4,14645.66,2,2014,FALSE,3
"SPWL",1000000,26,31210.05738,0.4,11235.62,2,2014,FALSE,3
"SPWL",1000000,35,36304.75775,0.4,13069.71,2,2014,FALSE,3
"SPWL",1000000,45,49680.69733,0.4,17885.05,2,2014,FALSE,3
"SPWL",1000000,55,80911.30745,0.4,29128.07,2,2014,FALSE,3
"SPWL",2000000,26,61956.45588,0.4,22304.32,2,2014,FALSE,3
"SPWL",2000000,35,72146.86698,0.4,25972.87,2,2014,FALSE,3
"SPWL",2000000,45,98901.45352,0.4,35604.52,2,2014,FALSE,3
"SPWL",2000000,55,161369.1263,0.4,58092.89,2,2014,FALSE,3
"T20",50000,26,174.0648179,0.4,144.5627506,1,2014,FALSE,3
"T20",50000,35,180.7649017,0.4,620.897201,1,2014,FALSE,3
"T20",50000,45,220.2714066,0.4,752.7659018,1,2014,FALSE,3
"T20",50000,55,323.0559441,0.4,1089.337834,1,2014,FALSE,3
"T20",100000,26,323.6353157,0.4,1075.130793,1,2014,FALSE,3
"T20",100000,35,352.8538453,0.4,1170.19896,1,2014,FALSE,3
"T20",100000,45,416.9166443,0.4,1424.790619,1,2014,FALSE,3
"T20",100000,55,622.3316755,0.4,2098.489291,1,2014,FALSE,3
"T20",250000,26,772.5036019,0.4,2566.291038,1,2014,FALSE,3
"T20",250000,35,845.5194686,0.4,2804.067507,1,2014,FALSE,3
"T20",250000,45,1006.852357,0.4,3440.864769,1,2014,FALSE,3
"T20",250000,55,1520.15887,0.4,5125.943665,1,2014,FALSE,3
"T20",500000,26,1520.617412,0.4,5051.558112,1,2014,FALSE,3
"T20",500000,35,1666.628841,0.4,5527.181752,1,2014,FALSE,3
"T20",500000,45,1990.078546,0.4,6800.988354,1,2014,FALSE,3
"T20",500000,55,3016.537527,0.4,10171.70095,1,2014,FALSE,3
"T20",1000000,26,3016.845033,0.4,10022.09226,1,2014,FALSE,3
"T20",1000000,35,3308.847585,0.4,10973.41024,1,2014,FALSE,3
"T20",1000000,45,3956.530923,0.4,13521.23552,1,2014,FALSE,3
"T20",1000000,55,6009.294842,0.4,20263.21553,1,2014,FALSE,3
"T20",2000000,26,6009.300275,0.4,19963.16056,1,2014,FALSE,3
"T20",2000000,35,6593.285073,0.4,21865.86722,1,2014,FALSE,3
"T20",2000000,45,7889.435677,0.4,26961.72986,1,2014,FALSE,3
"T20",2000000,55,11994.80947,0.4,40446.24469,1,2014,FALSE,3
"SPWL",50000,26,1769.149362,0.4,636.89,1,2014,FALSE,3
"SPWL",50000,35,2023.429716,0.4,728.43,1,2014,FALSE,3
"SPWL",50000,45,2691.008378,0.4,968.76,1,2014,FALSE,3
"SPWL",50000,55,4249.635242,0.4,1529.87,1,2014,FALSE,3
"SPWL",100000,26,3306.469287,0.4,1190.33,1,2014,FALSE,3
"SPWL",100000,35,3815.535178,0.4,1373.59,1,2014,FALSE,3
"SPWL",100000,45,5152.046187,0.4,1854.74,1,2014,FALSE,3
"SPWL",100000,55,8272.526185,0.4,2978.11,1,2014,FALSE,3
"SPWL",250000,26,7918.429063,0.4,2850.63,1,2014,FALSE,3
"SPWL",250000,35,9191.851563,0.4,3309.07,1,2014,FALSE,3
"SPWL",250000,45,12535.15962,0.4,4512.66,1,2014,FALSE,3
"SPWL",250000,55,20341.19901,0.4,7322.83,1,2014,FALSE,3
"SPWL",500000,26,15605.02869,0.4,5617.81,1,2014,FALSE,3
"SPWL",500000,35,18152.37887,0.4,6534.86,1,2014,FALSE,3
"SPWL",500000,45,24840.34866,0.4,8942.53,1,2014,FALSE,3
"SPWL",500000,55,40455.65372,0.4,14564.04,1,2014,FALSE,3
"SPWL",1000000,26,30978.22794,0.4,11152.16,1,2014,FALSE,3
"SPWL",1000000,35,36073.43349,0.4,12986.44,1,2014,FALSE,3
"SPWL",1000000,45,49450.72676,0.4,17802.26,1,2014,FALSE,3
"SPWL",1000000,55,80684.56314,0.4,29046.44,1,2014,FALSE,3
"SPWL",2000000,26,61724.62645,0.4,22220.87,1,2014,FALSE,3
"SPWL",2000000,35,71915.54273,0.4,25889.6,1,2014,FALSE,3
"SPWL",2000000,45,98671.48295,0.4,35521.73,1,2014,FALSE,3
"SPWL",2000000,55,161142.382,0.4,58011.26,1,2014,FALSE,3
"T20",50000,26,247.2341924,0.4,205.3307229,3,2014,FALSE,3
"T20",50000,35,251.469883,0.4,863.7569852,3,2014,FALSE,3
"T20",50000,45,291.1499134,0.4,994.9894563,3,2014,FALSE,3
"T20",50000,55,394.3965819,0.4,1329.89696,3,2014,FALSE,3
"T20",100000,26,396.8046902,0.4,1318.202682,3,2014,FALSE,3
"T20",100000,35,426.084135,0.4,1413.058744,3,2014,FALSE,3
"T20",100000,45,487.7951511,0.4,1667.014173,3,2014,FALSE,3
"T20",100000,55,693.6723133,0.4,2339.048418,3,2014,FALSE,3
"T20",250000,26,845.6729764,0.4,2809.362927,3,2014,FALSE,3
"T20",250000,35,918.7497582,0.4,3046.927291,3,2014,FALSE,3
"T20",250000,45,1077.730864,0.4,3683.088324,3,2014,FALSE,3
"T20",250000,55,1591.499508,0.4,5366.502792,3,2014,FALSE,3
"T20",500000,26,1593.786787,0.4,5294.630002,3,2014,FALSE,3
"T20",500000,35,1739.85913,0.4,5770.041536,3,2014,FALSE,3
"T20",500000,45,2060.957053,0.4,7043.211908,3,2014,FALSE,3
"T20",500000,55,3087.878165,0.4,10412.26008,3,2014,FALSE,3
"T20",1000000,26,3090.014408,0.4,10265.16415,3,2014,FALSE,3
"T20",1000000,35,3382.077874,0.4,11216.27003,3,2014,FALSE,3
"T20",1000000,45,4027.40943,0.4,13763.45908,3,2014,FALSE,3
"T20",1000000,55,6080.635479,0.4,20503.77466,3,2014,FALSE,3
"T20",2000000,26,6082.469649,0.4,20206.23245,3,2014,FALSE,3
"T20",2000000,35,6666.515362,0.4,22108.72701,3,2014,FALSE,3
"T20",2000000,45,7960.314184,0.4,27203.95342,3,2014,FALSE,3
"T20",2000000,55,12066.15011,0.4,40686.80382,3,2014,FALSE,3
"SPWL",50000,26,2464.63767,0.4,887.27,3,2014,FALSE,3
"SPWL",50000,35,2717.402477,0.4,978.26,3,2014,FALSE,3
"SPWL",50000,45,3380.920082,0.4,1217.13,3,2014,FALSE,3
"SPWL",50000,55,4929.868143,0.4,1774.75,3,2014,FALSE,3
"SPWL",100000,26,4001.957596,0.4,1440.7,3,2014,FALSE,3
"SPWL",100000,35,4509.507939,0.4,1623.42,3,2014,FALSE,3
"SPWL",100000,45,5841.957891,0.4,2103.1,3,2014,FALSE,3
"SPWL",100000,55,8952.759085,0.4,3222.99,3,2014,FALSE,3
"SPWL",250000,26,8613.917371,0.4,3101.01,3,2014,FALSE,3
"SPWL",250000,35,9885.824325,0.4,3558.9,3,2014,FALSE,3
"SPWL",250000,45,13225.07132,0.4,4761.03,3,2014,FALSE,3
"SPWL",250000,55,21021.43191,0.4,7567.72,3,2014,FALSE,3
"SPWL",500000,26,16300.517,0.4,5868.19,3,2014,FALSE,3
"SPWL",500000,35,18846.35163,0.4,6784.69,3,2014,FALSE,3
"SPWL",500000,45,25530.26037,0.4,9190.89,3,2014,FALSE,3
"SPWL",500000,55,41135.88662,0.4,14808.92,3,2014,FALSE,3
"SPWL",1000000,26,31673.71625,0.4,11402.54,3,2014,FALSE,3
"SPWL",1000000,35,36767.40625,0.4,13236.27,3,2014,FALSE,3
"SPWL",1000000,45,50140.63846,0.4,18050.63,3,2014,FALSE,3
"SPWL",1000000,55,81364.79605,0.4,29291.33,3,2014,FALSE,3
"SPWL",2000000,26,62420.11476,0.4,22471.24,3,2014,FALSE,3
"SPWL",2000000,35,72609.51549,0.4,26139.43,3,2014,FALSE,3
"SPWL",2000000,45,99361.39465,0.4,35770.1,3,2014,FALSE,3
"SPWL",2000000,55,161822.6149,0.4,58256.14,3,2014,FALSE,3
"T20",50000,26,243.6075403,0.4,193.9265119,3,2024,FALSE,3
"T20",50000,35,252.8508244,0.4,815.2589797,3,2024,FALSE,3
"T20",50000,45,291.0958858,0.4,934.0601027,3,2024,FALSE,3
"T20",50000,55,390.848076,0.4,1238.279448,3,2024,FALSE,3
"T20",100000,26,389.0573801,0.4,1238.853946,3,2024,FALSE,3
"T20",100000,35,415.591747,0.4,1321.234997,3,2024,FALSE,3
"T20",100000,45,485.0543963,0.4,1556.42859,3,2024,FALSE,3
"T20",100000,55,683.9355017,0.4,2166.834961,3,2024,FALSE,3
"T20",250000,26,825.343465,0.4,2628.095651,3,2024,FALSE,3
"T20",250000,35,891.5619273,0.4,2834.423033,3,2024,FALSE,3
"T20",250000,45,1066.929928,0.4,3423.534053,3,2024,FALSE,3
"T20",250000,55,1563.197779,0.4,4952.5015,3,2024,FALSE,3
"T20",500000,26,1552.48694,0.4,4943.498493,3,2024,FALSE,3
"T20",500000,35,1684.845561,0.4,5356.403094,3,2024,FALSE,3
"T20",500000,45,2036.72248,0.4,6535.376492,3,2024,FALSE,3
"T20",500000,55,3028.634907,0.4,9595.279066,3,2024,FALSE,3
"T20",1000000,26,3006.77389,0.4,9574.304177,3,2024,FALSE,3
"T20",1000000,35,3271.412829,0.4,10400.36322,3,2024,FALSE,3
"T20",1000000,45,3976.307585,0.4,12759.06137,3,2024,FALSE,3
"T20",1000000,55,5959.509165,0.4,18880.8342,3,2024,FALSE,3
"T20",2000000,26,5915.34779,0.4,18835.91554,3,2024,FALSE,3
"T20",2000000,35,6444.547365,0.4,20488.28346,3,2024,FALSE,3
"T20",2000000,45,7855.477795,0.4,25206.43112,3,2024,FALSE,3
"T20",2000000,55,11821.25768,0.4,37451.94446,3,2024,FALSE,3
"SPWL",50000,26,2002.136146,0.4,720.77,3,2024,FALSE,3
"SPWL",50000,35,2171.481994,0.4,781.73,3,2024,FALSE,3
"SPWL",50000,45,2623.137267,0.4,944.33,3,2024,FALSE,3
"SPWL",50000,55,3693.265062,0.4,1329.58,3,2024,FALSE,3
"SPWL",100000,26,3195.79009,0.4,1150.48,3,2024,FALSE,3
"SPWL",100000,35,3535.797028,0.4,1272.89,3,2024,FALSE,3
"SPWL",100000,45,4442.650486,0.4,1599.35,3,2024,FALSE,3
"SPWL",100000,55,6591.380785,0.4,2372.9,3,2024,FALSE,3
"SPWL",250000,26,6776.751921,0.4,2439.63,3,2024,FALSE,3
"SPWL",250000,35,7628.742131,0.4,2746.35,3,2024,FALSE,3
"SPWL",250000,45,9901.190144,0.4,3564.43,3,2024,FALSE,3
"SPWL",250000,55,15285.72795,0.4,5502.86,3,2024,FALSE,3
"SPWL",500000,26,12745.02164,0.4,4588.21,3,2024,FALSE,3
"SPWL",500000,35,14450.3173,0.4,5202.11,3,2024,FALSE,3
"SPWL",500000,45,18998.75624,0.4,6839.55,3,2024,FALSE,3
"SPWL",500000,55,29776.30657,0.4,10719.47,3,2024,FALSE,3
"SPWL",1000000,26,24681.56108,0.4,8885.36,3,2024,FALSE,3
"SPWL",1000000,35,28093.46765,0.4,10113.65,3,2024,FALSE,3
"SPWL",1000000,45,37193.88843,0.4,13389.8,3,2024,FALSE,3
"SPWL",1000000,55,58757.46379,0.4,21152.69,3,2024,FALSE,3
"SPWL",2000000,26,48554.63995,0.4,17479.67,3,2024,FALSE,3
"SPWL",2000000,35,55379.76833,0.4,19936.72,3,2024,FALSE,3
"SPWL",2000000,45,73584.15282,0.4,26490.3,3,2024,FALSE,3
"SPWL",2000000,55,116719.7783,0.4,42019.12,3,2024,FALSE,3
"T20",50000,26,194.5075452,0.4,154.8399107,2,2024,FALSE,3
"T20",50000,35,204.3990655,0.4,659.0374935,2,2024,FALSE,3
"T20",50000,45,242.5271982,0.4,778.2142952,2,2024,FALSE,3
"T20",50000,55,341.9677508,0.4,1083.417481,2,2024,FALSE,3
"T20",100000,26,339.957385,0.4,1082.507541,2,2024,FALSE,3
"T20",100000,35,366.4526003,0.4,1165.013511,2,2024,FALSE,3
"T20",100000,45,436.4857087,0.4,1400.582783,2,2024,FALSE,3
"T20",100000,55,635.0551766,0.4,2011.972994,2,2024,FALSE,3
"T20",250000,26,776.24347,0.4,2471.749247,2,2024,FALSE,3
"T20",250000,35,842.4227806,0.4,2678.201547,2,2024,FALSE,3
"T20",250000,45,1018.36124,0.4,3267.688246,2,2024,FALSE,3
"T20",250000,55,1514.317454,0.4,4797.639533,2,2024,FALSE,3
"T20",500000,26,1503.386945,0.4,4787.152088,2,2024,FALSE,3
"T20",500000,35,1635.706415,0.4,5200.181608,2,2024,FALSE,3
"T20",500000,45,1988.153793,0.4,6379.530685,2,2024,FALSE,3
"T20",500000,55,2979.754582,0.4,9440.417099,2,2024,FALSE,3
"T20",1000000,26,2957.673895,0.4,9417.957772,2,2024,FALSE,3
"T20",1000000,35,3222.273682,0.4,10244.14173,2,2024,FALSE,3
"T20",1000000,45,3927.738898,0.4,12603.21556,2,2024,FALSE,3
"T20",1000000,55,5910.62884,0.4,18725.97223,2,2024,FALSE,3
"T20",2000000,26,5866.247795,0.4,18679.56914,2,2024,FALSE,3
"T20",2000000,35,6395.408218,0.4,20332.06197,2,2024,FALSE,3
"T20",2000000,45,7806.909108,0.4,25050.58532,2,2024,FALSE,3
"T20",2000000,55,11772.37735,0.4,37297.08249,2,2024,FALSE,3
"SPWL",50000,26,1597.895045,0.4,575.24,2,2024,FALSE,3
"SPWL",50000,35,1767.898514,0.4,636.44,2,2024,FALSE,3
"SPWL",50000,45,2221.325243,0.4,799.68,2,2024,FALSE,3
"SPWL",50000,55,3295.690393,0.4,1186.45,2,2024,FALSE,3
"SPWL",100000,26,2791.548989,0.4,1004.96,2,2024,FALSE,3
"SPWL",100000,35,3132.213548,0.4,1127.6,2,2024,FALSE,3
"SPWL",100000,45,4040.838462,0.4,1454.7,2,2024,FALSE,3
"SPWL",100000,55,6193.806115,0.4,2229.77,2,2024,FALSE,3
